话题链接,话题内容,楼主ID,楼主昵称,楼主性别,发布日期,发布时间,转发量,评论量,点赞量,评论者ID,评论者昵称,评论者性别,评论日期,评论时间,评论内容
 , , , , , , , , , ,6128341540,平淡201004,f,2020/07/30,13:36:50,林郑月娥为啥不请示中央求助啊
 , , , , , , , , , ,5203920411,尊字令,m,2020/07/30,13:40:51,问题不大，他们能行的，加油，来自印度的❤️
 , , , , , , , , , ,1654433812,媛工Yuangineer,f,2020/07/30,13:48:43,换内地官员说不要心急，微博又要亡国了
 , , , , , , , , , ,5288860317,胜长华南,m,2020/07/30,13:40:42,完全李姐
 , , , , , , , , , ,7407039983,痣上飘一撮毛,f,2020/07/30,13:38:31,有爱国港人提议让香港人过深圳检测呢
 , , , , , , , , , ,3908168038,鹰407,f,2020/07/30,13:36:18,真是不作不死，你这让阿爷怎么弄
 , , , , , , , , , ,2020047841,ZephyrZhang,m,2020/07/30,13:41:13,你们有袁国勇，不慌
 , , , , , , , , , ,6358152286,龙姑,f,2020/07/30,13:40:05,废青难辞其咎
 , , , , , , , , , ,2082257885,乆段棋手菜菜籽,m,2020/07/30,13:52:13,医管局叫病人不要心急，医师协会说内地医护不能过臭港“非法行医”，资本主义提现得淋漓尽致
 , , , , , , , , , ,2242934387,休息中的小蜜蜂,f,2020/07/30,13:39:41,不要心急...全家都被感染，轻症也拖成重症！
 , , , , , , , , , ,1802884421,瓦力司机,m,2020/07/30,13:37:57,一国两制贯彻到底
https://m.weibo.cn/detail/4532383619484165,【#核酸检测流动车开上沈阳街头#】 7月28日，一辆车身上印着“沈阳市第四人民医院核酸检测流动车”字样的医疗救护车，停靠在沈阳市府广场为市民进行核酸检测。@沈阳发布 介绍，市民通过流动车完成核酸检测后，可在24小时内得到检测结果。#关注新冠肺炎# （ 中新社记者 于海洋 摄） ,1784473157,中国新闻网,m,2020/07/30,13:45:25,5,18,79, , , , , , 
https://m.weibo.cn/detail/4532385188158143,【#海底捞回应筷子检测出大肠菌群#：储存中导致 将处罚】7月29日，海底捞方面表示，对其杭州一门店筷子被检出大肠菌群不合格深表歉意，将直接处罚问题门店经理。海底捞称，经排查分析，基本判定为筷子储存过程中导致，将继续优化餐具清洁设备。杭州市市监局表示，大肠菌群是食品污染常用指示菌之一。造成餐饮具中大肠菌群超标，主要原因是二次污染。#海底捞一门店筷子检出大肠菌群#@新京报我们视频 新京报动新闻的秒拍视频,1642088277,财经网,m,2020/07/30,13:51:39,3,7,10, , , , , , 
https://m.weibo.cn/detail/4532385016714246,都不知道疫情啥时候结束，我只希望夏天快点结束，这天出门带口罩，简直了。 ,1707114464,上海滩小律师,m,2020/07/30,13:50:58,1,11,23, , , , , , 
https://m.weibo.cn/detail/4532308457817625,【#31省区市新增确诊105例#：#新疆新增本土病例96例#】7月29日0—24时，31个省（自治区、直辖市）和新疆生产建设兵团报告新增确诊病例105例，其中境外输入病例3例（广东1例，云南1例，陕西1例），本土病例102例（新疆96例，辽宁5例，北京1例）；无新增死亡病例；新增疑似病例1例，为境外输入病例（在上海）。  当日新增治愈出院病例13例，解除医学观察的密切接触者584人，重症病例较前一日增加8例。  境外输入现有确诊病例78例（其中重症病例2例），现有疑似病例2例。累计确诊病例2059例，累计治愈出院病例1981例，无死亡病例。  截至7月29日24时，据31个省（自治区、直辖市）和新疆生产建设兵团报告，现有确诊病例574例（其中重症病例33例），累计治愈出院病例78957例，累计死亡病例4634例，累计报告确诊病例84165例，现有疑似病例2例。累计追踪到密切接触者786957人，尚在医学观察的密切接触者18353人。  31个省（自治区、直辖市）和新疆生产建设兵团报告新增无症状感染者21例（境外输入1例）；当日转为确诊病例12例（无境外输入）；当日解除医学观察2例（境外输入2例）；尚在医学观察无症状感染者280例（境外输入90例）。  累计收到港澳台地区通报确诊病例3515例。其中，香港特别行政区3002例（出院1591例，死亡24例），澳门特别行政区46例（出院46例），台湾地区467例（出院440例，死亡7例）。,2803301701,人民日报,m,2020/07/30,08:46:45,1136,7358,76267, , , , , , 
 , , , , , , , , , ,5945182698,2030年某互联网新兴巨头,m,2020/07/30,08:47:56,新疆最开始为什么那么多天之后才公布？？？？？？？？？
 , , , , , , , , , ,1581312647,WJXZHGXBRSN,m,2020/07/30,08:48:28,新疆是不是需要检讨一下疫情防控工作？
 , , , , , , , , , ,3211872610,Schematheorycomprehension,m,2020/07/30,08:46:56,新疆至今的信息还是看起来似乎几乎可能比较有限的
 , , , , , , , , , ,2995654343,小兔兔的卷毛馕,m,2020/07/30,08:55:51,乌鲁木齐为什么就不能和大连一样第一时间公布行程吗？按照潜伏期中位数4天来说，现在新增加的人是否和大面积核酸检测有关？还是说和楼栋通风下水有关？观察人数两次断崖式的增长的合理解释是什么？疫情最开始的几天确诊数量有小幅度的下降就赶忙解释，那现在一直增加是否也应该给出合理解释？
 , , , , , , , , , ,1229406407,马华in杭州,m,2020/07/30,08:57:15,乌鲁木齐这个病例数据曲线哪里像封城了2周的？
 , , , , , , , , , ,1990994563,斯戴芬妮儿,m,2020/07/30,08:49:01,乌鲁木齐市平安，昌吉回族自治州平安，塔城地区平安，克拉玛依市平安，阿勒泰平安，博尔塔拉蒙古自治州平安，伊犁哈萨克自治州平安，吐鲁番平安，哈密地区平安，阿克苏地区平安，阿拉尔市平安，巴音郭楞蒙古自治州平安，克孜勒苏柯尔克孜自治州平安，图木舒克市平安，喀什地区平安，和田地区平安。。。
 , , , , , , , , , ,2916357183,o_o小胖李LSCR,f,2020/07/30,09:41:46,没有比新疆人更着急的人了，我求求各位大佬了别什么张口闭口就是“别问问就是破坏民族团结。别问问就是你号没了，问就是你地区敏感”我真的好气！找不到源头新疆人不比谁都着急？我全家人都在那边，出这种事情谁都不想！应该质问政府质问防疫部门，大部分的新疆人民是无辜的啊！不要跟风阴阳怪气可以吗
 , , , , , , , , , ,6793862700,ATtoWhere,m,2020/07/30,08:59:38,新疆这绝对有问题，按理说自第一例病例出现以来已经过去这么多天了，乌鲁木齐也封城了，该发病的早就该发了，这增速不正常
 , , , , , , , , , ,6185485902,superYCY0,f,2020/07/30,08:58:00,说什么防控到位，其实就是行动晚了，还不让说
 , , , , , , , , , ,2268647294,沙漠教主,m,2020/07/30,08:49:24,这次是近距离在乌鲁木齐感受到了疫情的存在，身边也有好多朋友在一线，都是志愿者，感触良多，谢谢这些每天战斗在疫情一线的白衣天使，日夜坚守岗位的公安干警，默默奉献的社区工作人员和志愿者们，正是你们这些“最美逆行者”的努力，新疆从不会让我们失望，加油！
 , , , , , , , , , ,2881718600,叶尔德尼呀,f,2020/07/30,08:47:54,关注疫情动向成了每天的必修课，疫情防控不可松懈，有那么多一线的工作者们为咱们保驾护航，咱们新疆人民一定可以战胜这次疫情，一线防疫工作者辛苦了，我们一起加油，做好个人防护，带好口罩，尽量不出门，不抱怨，不添乱！携起手来，打赢疫情防控的阻击战，静待春暖花开的日子早日到来!@人民日报
 , , , , , , , , , ,5600721412,何博微,m,2020/07/30,09:26:30,真的很烦那些人，天天都是：别问，问就是怎么怎么。你自己问的阴阳怪气，谁不喷你。说什么就新疆特殊，我们就是特殊，如果你看过新疆暴恐纪录片，关注过美国说新疆没人权的新闻，如果你来过新疆，你自然明白。那些阴阳怪气的人有几个是新疆人，生活来之不易，我们相信政府。还有你以为人家真的没上报吗
 , , , , , , , , , ,1983508601,将远方归还给远方,f,2020/07/30,09:11:26,突然明白一句话，骂你的不一定是为你好的，可能就是在看热闹的 武汉疫情爆发的时候，一群人骂骂咧咧当起了侦探，这个失职那个不作为，天天像纪检委一样监督人家报没有下岗没有，最后还不是政府控制住了，一切变好了。
 , , , , , , , , , ,6390118877,乐以忘忧anny,f,2020/07/30,08:47:23,新疆的数字什么时候可以降下来？😱
 , , , , , , , , , ,5649058541,灏少178,m,2020/07/30,08:50:03,新疆该反省一下
 , , , , , , , , , ,3212345387,我们仙女都很忙,f,2020/07/30,08:51:37,键盘侠营销号飘远，新疆出现了疫情，大家万众一心，不给防疫添乱，积极贡献自己的力量，也为奋斗在疫情一线的医务人员、民警、街道社区人员等等辛苦付出者致敬，一起加油，风雨过后见彩虹！@人民日报 评论配图
 , , , , , , , , , ,6224771296,村上富江_,f,2020/07/30,08:51:22,每天起床第1件事就是先来看看数据，现在各个地方我觉得控制的都挺好，还没咋扩散到周边，我觉得也算好消息呀，之前那么严重，我们都已经挺过来了，这次小范围的爆发，我们也一定会轻松拿下！中国加油！@人民日报 评论配图
 , , , , , , , , , ,2809129481,你是天真我是萌萌,f,2020/07/30,09:55:12,身为一个新疆人，看到这些评论真的是心凉凉，我们居家隔离从7.18到现在已然有13天了，新疆的防疫，但凡是您来过新疆都可以见证到有多么严格，我们每一个新疆人都在努力，尤其是一线工作者，社区工作者都非常的认真负责，希望大家能少一些负能量，尤其在你不了解真实的情况下，多一些积极鼓励！
 , , , , , , , , , ,2179329000,姚哈哈哈哈哈_,f,2020/07/30,10:03:42,真是喷子太多了 Zf不作为 就知道形式主义 基层每天累到虚脱 然后搞到现在一天更比一天强 有啥好杠的？？？？？ 就是一开始瞒报 就是没有公布轨迹 就是有问题啊
 , , , , , , , , , ,1301263562,鹿鹿家的鲨鱼先生,m,2020/07/30,08:55:13,别问 都别问 不让问 问了就等着挨喷吧
https://m.weibo.cn/detail/4532328926023557,【吴尊友：#武汉北京大连的疫情发现同一问题#】吴尊友：大连、北京疫情与海产品加工销售有关，武汉当时的华南海鲜市场也与海产品销售有关，这是个相似点。这些地方有共同特点：存在潮湿、低温环境。这类环境适合病毒存活，且不易灭活，造成传播风险。提醒：#海产品加工销售地要特别注意疫情防范#！ 央视新闻的微博视频,2656274875,央视新闻,m,2020/07/30,10:08:05,1518,2682,38676, , , , , , 
 , , , , , , , , , ,1810710523,人走茶冰凉,f,2020/07/30,10:10:50,最主要还是暂时拒绝冷冻进口吧
 , , , , , , , , , ,5538102752,坎恋,f,2020/07/30,10:08:51,海鲜市场人聚集多，易发生交叉感染病毒的风险。
 , , , , , , , , , ,2249872265,刘安娜小提琴的大备胎,f,2020/07/30,10:09:00,海鲜市场毕竟湿度大，传播性高啊
 , , , , , , , , , ,2801908122,糖芯_Sweet,f,2020/07/30,10:10:32,感觉全国的海鲜市场都要加强防范！
 , , , , , , , , , ,1969324253,鱼仲菲,f,2020/07/30,10:23:07,难道病毒来自海洋，海洋的病毒来自溶解冰川？
 , , , , , , , , , ,2266410677,不是Lee先森的林同学,m,2020/07/30,10:48:14,蝙蝠背了半年的锅发现真正的锅是海产加工线我只希望半年前在网上yygq说武汉人吃蝙蝠的亲🐴原地升天🙏🏻
 , , , , , , , , , ,1370399675,小米天台,m,2020/07/30,10:13:30,暂停进口海鲜吧
 , , , , , , , , , ,5111133746,养嫦娥喂玉兔,m,2020/07/30,10:13:54,冤枉小蝙蝠了
 , , , , , , , , , ,3622646615,是星星的昕昕,f,2020/07/30,10:56:46,有些人别混淆概念呀，虽然找到问题所在了是海鲜一类的，但替吃野生动物的人喊冤，大可不必
 , , , , , , , , , ,5251565137,前方高甜预警,f,2020/07/30,10:09:31,海鲜一定要吃熟的…
 , , , , , , , , , ,1737490021,人在旅途-Fan,m,2020/07/30,10:39:19,查找武汉华南海鲜市场向哪些国家进口海鲜，能缩小病毒来源范围。
 , , , , , , , , , ,5488950766,粉红小灰灰007,f,2020/07/30,10:10:02,华南海鲜市场没查出源头就进行消杀，让中国背了锅。
 , , , , , , , , , ,2911913913,荷尓蒙,m,2020/07/30,10:08:54,拒绝海鲜 野生动物
 , , , , , , , , , ,5715015380,爱吃辣条的wyx,f,2020/07/30,11:38:06,新疆什么原因呢
 , , , , , , , , , ,5861738308,雪731028,f,2020/07/30,11:35:34,新疆呢？
 , , , , , , , , , ,2433984294,就你那德性,m,2020/07/30,11:05:30,最早专家说是来自野生动物。
 , , , , , , , , , ,2212941554,華夏御龍氏,f,2020/07/30,10:49:09,现在可能需要追溯去年武汉华南海鲜市场进口海鲜的渠道缩小范围，当初胡乱下结论说野味的也该判刑，要不是他们口无遮拦，没有证据瞎说，怎么会搞得武汉被全世界要求索赔
 , , , , , , , , , ,5404125420,冰岛不加冰,f,2020/07/30,11:41:31,那新疆的到底因为啥
 , , , , , , , , , ,5454369118,小新的小胖崽,f,2020/07/30,11:31:04,新疆呢？
 , , , , , , , , , ,1688121865,IF_Unstoppable,m,2020/07/30,12:16:42,澳洲大火→气候变暖→北极冰雪融化→病毒解封污染海水→海产品染毒→海鲜市场。澳大利亚就是罪魁祸首
https://m.weibo.cn/detail/4532330959998662,【#大连所有幼儿园全部暂停#】大连市教育局局长赵阳30日在当地政府举行的新闻发布会上称，7月22日大连市出现新冠肺炎确诊病例后，甘井子区大连湾街道31所幼儿园、西岗区工人村社区1所幼儿园和花园口经济区6所幼儿园立即于7月23日采取了停园措施。7月24日，随着大连市疫情防控形势变化，全市1322所幼儿园全部暂停幼儿入园。（记者杨毅）@中新视频 中新视频的微博视频,1784473157,中国新闻网,m,2020/07/30,10:16:10,179,1141,8543, , , , , , 
 , , , , , , , , , ,3986167466,精神分裂症早期,m,2020/07/30,11:16:57,一个个幼儿园有没有暑假都不知道了 还好意思评论 真丢人 很讨厌 不喜欢 很烦
 , , , , , , , , , ,5364411926,手冲队长,m,2020/07/30,10:19:15,这时候也该放暑假了的吧
 , , , , , , , , , ,1638880685,Sebastian0111,m,2020/07/30,10:19:14,本来不也放假的吗
 , , , , , , , , , ,3548202044,jin--ys,m,2020/07/30,11:00:56,大连的幼儿园的确大多数没有寒暑假，和家长一一样，按照国家法定假日来休！这样没有老人帮忙看孩子的家长就不用愁没人看孩子了！
 , , , , , , , , , ,5178726901,大大小小千千万万,m,2020/07/30,11:10:55,学学北京，大中小幼，外带各类教培机构全部停工半年多，现在也没个准信儿
 , , , , , , , , , ,3986167466,精神分裂症早期,m,2020/07/30,11:18:11,幼儿园有没有暑假啊 我好想知道啊
 , , , , , , , , , ,6199451891,P-Yffai,f,2020/07/30,10:57:51,私立幼儿园一般都是有寒暑假的，（寒暑假期间设有寒暑假班，家长可自愿送去 我们这按月收费）强行杠就是你对杠精
 , , , , , , , , , ,1867413942,几分茫然_351,m,2020/07/30,10:32:28,说幼儿园没有寒暑假的，我们家上的都是假的幼儿园？
